dosya_yolu,tip,locale,mevcut_title,h1_var_mi
"app/reference/page.tsx","tsx","unknown","${copy.title} | ${brandContent.siteName}","EVET"
"app/request-tool/page.tsx","tsx","unknown","${copy.title} | ${brandContent.siteName}","EVET"
"app/s/[code]/page.tsx","tsx","unknown","Paylaşım Bulunamadı","EVET"
"app/saved-calculations/page.tsx","tsx","unknown","${copy.title} | ${brandContent.siteName}","EVET"
"app/standards/page.tsx","tsx","unknown","","EVET"
"app/standards/[category]/page.tsx","tsx","unknown","${category.title[locale]} | ${copy.title}","EVET"
"app/support/page.tsx","tsx","unknown","${copy.title} | ${brandContent.siteName}","EVET"
"app/tables/page.tsx","tsx","unknown","","EVET"
"app/tags/[tag]/page.tsx","tsx","unknown","${titleBase} | ${brandContent.siteName}","EVET"
"app/[locale]/(tools)/tools/gear-design/page.tsx","tsx","unknown","1. Dişli Temelleri","EVET"
"app/[locale]/kullanim-sartlari/page.tsx","tsx","unknown","Kullanım Şartları","EVET"
"app/[locale]/materials/page.tsx","tsx","unknown","${copy.title} | ${brandContent.siteName}","EVET"
"app/[locale]/materials/[id]/page.tsx","tsx","unknown","${notFoundCopy.title} | ${brandContent.siteName}","EVET"
"app/[locale]/project-hub/devreye-alma/page.tsx","tsx","unknown","","EVET"
"app/[locale]/project-hub/page.tsx","tsx","unknown","Proje Merkezi | TORQYX","EVET"
"app/[locale]/project-hub/part-tracking/page.tsx","tsx","unknown","","EVET"
"app/[locale]/project-hub/project-tools/page.tsx","tsx","unknown","","EVET"
"app/[locale]/project-hub/rfq/page.tsx","tsx","unknown","","EVET"
"app/[locale]/projects/page.tsx","tsx","unknown","${copy.title} | ${brandContent.siteName}","EVET"
"app/[locale]/standards/fits/page.tsx","tsx","unknown","Geçmeler | Standartlar","EVET"
"app/[locale]/standards/fluids/page.tsx","tsx","unknown","Akışkanlar | Standartlar","EVET"
"app/[locale]/standards/materials/page.tsx","tsx","unknown","Malzemeler | Standartlar","EVET"
"app/[locale]/standards/threads/page.tsx","tsx","unknown","Metrik Dişler | Standartlar","EVET"
